web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551348198-17934","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Renaming devices","August 8, 2018","I liked the ease of learning the devices.
I was unable to change the names of the devices - all I have is 8 dimmers. Alexa calls them: first light,  second light etc.... in order to change the names, I was told to download the dimmers app (GE zigbee) which I did but I was unable to create an account ( required before you can move on). I was unable to complain to GE, did not have the means or ability to do so). Something is wrong with the website.
Is there another way that Alexa can identify first light to be “kitchen lights” and second light to be “TV room lights” etc....","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&pageNumber=35&reviewerType=all_reviews"
"1551348539-19123","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","I especially love the different skills I can add that are fun ...","February 20, 2018","This product is very user friendly. It enables me to play any type of music I want. I especially love the different skills I can add that are fun and exercise your memory. I am very happy that I purchased this product.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_184?ie=UTF8&pageNumber=184&reviewerType=all_reviews"
"1551350758-20535","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Kellyann Sonnon","Two Stars","January 27, 2018","It does not understand when you answer “yes”.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_360?ie=UTF8&pageNumber=360&reviewerType=all_reviews"
"1551348598-19334","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","David Youngbluth","Love the Echo","January 11, 2018","Love the echo! I also purchased some Philips Smart Home products as well to go with the Echo since it has a built in Hub. I was not disappointed with the echo or the Philips products.

Thanks Amazon keep up the innovation!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_210?ie=UTF8&pageNumber=210&reviewerType=all_reviews"
"1551348336-18429","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Don MacDonald","responds very fast to given commands and was very easy to connect via the Amazon App","July 27, 2018","Is as expected and more, responds very fast to given commands and was very easy to connect via the Amazon App. I also bought the Philips
Hue Light Bulb and all I had to do was put it in my lamp and tell Alexa to find my device and it connected and the lamp now turns on and off with voice commands.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_97?ie=UTF8&pageNumber=97&reviewerType=all_reviews"
"1551348432-18745","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Deb Fancher","Alexa","September 9, 2018","I love it ! What a helpful gadget to have in my home.  She's better than a roommate, she doesn't forget and she doesn't argue.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_137?ie=UTF8&pageNumber=137&reviewerType=all_reviews"
"1551348284-18236","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Robert Slone","Wow, Can't live without it.Love having access to any song or groups music just ask Alexis.","November 11, 2018","Lifesaver, I was in wheelchair for three months. Was great t!o have help access to music, and I formztion. Don't have to do googl e search.  I just ask Alexa.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_73?ie=UTF8&pageNumber=73&reviewerType=all_reviews"
"1551348708-19729","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Aldo Brito","Excellent!","January 25, 2018","One of the Best Buy ever. It exceed my expectation.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_260?ie=UTF8&pageNumber=260&reviewerType=all_reviews"
"1551348439-18769","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Torie","Love This!!!!","December 31, 2017","I love this!!!  It's such fun to ask Alexa and get an answer to almost anything.  I love playing music all day and it's such fun to change the genre whenever I want.  Even the alarm is very pleasant.  It's great to be able to turn on lights too.  I highly recommend this!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_140?ie=UTF8&pageNumber=140&reviewerType=all_reviews"
"1551350804-20667","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Echo Plus","August 29, 2018","Great sound","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_377?ie=UTF8&pageNumber=377&reviewerType=all_reviews"
"1551348475-18891","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jane Doe","Love how Alexa welcomes me home each evening when I ...","February 15, 2018","Love how Alexa welcomes me home each evening when I ask her to turn on the living room light.  So helpful.  Still getting to know all that it is capable of, but love it so far!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_155?ie=UTF8&pageNumber=155&reviewerType=all_reviews"
"1551348716-19763","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Claris","Love it!","July 2, 2018","Love it!!! Convenient. Responsive. Learns voices within the household. Best assistant so far!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_264?ie=UTF8&pageNumber=264&reviewerType=all_reviews"
"1551348328-18396","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","T. Williams","Another great addition","January 11, 2018","Second full size Echo purchased, smart hub connected to three different lights and two wall outlets.
Straight out of the box, no issues, sound is great as always, love the ability to physically turn volume up or down on this model.
All good stuff here folks, nothing bad from my experience","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_93?ie=UTF8&pageNumber=93&reviewerType=all_reviews"
"1551348677-19626","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","nicki ramos","Side by side, coffee ☕️ and Alexa! 💕","December 8, 2018","Have had for almost a year, and still having fun with it! Can’t imagine a day without it now!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_247?ie=UTF8&pageNumber=247&reviewerType=all_reviews"
"1551348486-18935","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Louisiana","No complaints","September 28, 2018","Works great","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_160?ie=UTF8&pageNumber=160&reviewerType=all_reviews"
"1551350841-20803","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Donald J. Fanning","Great addition to any home.","January 9, 2018","Easy to set up. Great device for music, lights and other smart home devices. Great value.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_394?ie=UTF8&pageNumber=394&reviewerType=all_reviews"
"1551348484-18927","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Charles johnson","Better than i thought.","September 30, 2018","The sound is amazing.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_159?ie=UTF8&pageNumber=159&reviewerType=all_reviews"
"1551348647-19519","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Justin O","They loved it.","February 2, 2018","Gave this as a christmas gift. They loved it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_233?ie=UTF8&pageNumber=233&reviewerType=all_reviews"
"1551348263-18167","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","SoHost","Awesome product. Keeps us orgsnized. Great sound quality.","January 28, 2018","This has been a great addition to our family organization. We can add to our shopping list, set reminders, make phone calls, receive shipping notifications, use it as an intercom system, and set it I p as our smart home hub. The sound quality us great as well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&pageNumber=64&reviewerType=all_reviews"
"1551348727-19808","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Easy set up","August 9, 2018","Using it every single day. Works great just as described.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_269?ie=UTF8&pageNumber=269&reviewerType=all_reviews"
"1551348860-20282","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Arellano","I love my Echo plus","February 26, 2018","I love my Echo plus, I can actually turn my lights of at night with out me getting up the bed. Its awesome.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_329?ie=UTF8&pageNumber=329&reviewerType=all_reviews"
"1551348271-18186","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Peggy Pack","Fun device","May 26, 2018","Easy to use and convenience is good for one area of house. Need additional devices to have service in other parts of home. Want to be able to play my play list from any music service.  Want easier use of calling from my contacts.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews"
