web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551345079-10675","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Scott Rowe","Big upgrade from first gen model","November 7, 2018","Nice design, big upgrade on video and sound quality. Also, with the second generation model came new software features, like Hulu video.

I purchased the first gen show last year and to be honest It became a music player with a screen. Minus the occasional video call with someone else, that was it's primary use. The screen was pretty small in comparison to the second model and I never would have considered watching anything on it.

The second generation feels like a small TV (requires Hulu w/live TV) in my kitchen on top of being an Alexa / music device.

It also just looks much nicer on my kitchen counter","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews"
"1551345317-11506","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Echo Show - even a hack like me can enjoy it","November 12, 2018","Everything has gone smooth on start up.  I've hooked up one smart light, added Amazon music - good sound - and done question and answer.  Still have more functions to learn and do - taking my time.  Love this ""machine""","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_142?ie=UTF8&pageNumber=142&reviewerType=all_reviews"
"1551345174-11005","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Theresa","Needed assistance","December 16, 2018","No the speaker were broke. Called they r coming to get this one and replace it. I am proud to say this company never let me down yet","2.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_79?ie=UTF8&pageNumber=79&reviewerType=all_reviews"
"1551345426-11869","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Mary","No way to remove annoying ""Things to Try"" banner at the bottom of the home screen","December 30, 2018","The banner is constant and there is no way to turn it off.  I don't need constant advertising/tips.  It is annoying enough that I'm considering returning it and trying the Google product.  Really don't want to do that.  Amazon - please fix this.","2.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_187?ie=UTF8&pageNumber=187&reviewerType=all_reviews"
"1551345154-10940","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Tiffany Taylor","Love it!","January 7, 2019","I wasn't sure that I needed a new Alexa/Kindle type device - however, when my Echo (1st gen) started to act a bit off kilter, I thought why not! AND, I'm so glad I did - now I can watch/listen to music and movies/shows while doing work at my desk - I LOVE IT!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&pageNumber=71&reviewerType=all_reviews"
"1551345075-10660","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","T. Medvecky","Speakers are MUCH MUCH better in the 2nd Gen Show","November 3, 2018","My biggest complaint about the 1st gen was the sound... it was horrible... better sound and larger screen are nice.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1551345272-11347","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","jackie sharp","My New Echo Show","December 27, 2018","Bought as a gift  to myself.  Great picture and great sound. Love it. I have Echos all over my house, but this latest one I just purchased, take the cake.  I am going to buy another one real soon.  Great purchase. You will love it.

Dr. Jackie Sharp","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_122?ie=UTF8&pageNumber=122&reviewerType=all_reviews"
"1551345394-11746","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Wanda54CT","Good sound","February 25, 2019","Nice size to sit on a counter and good sound quality for music. Still need to play with it more. Works great with my smart devices.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_172?ie=UTF8&pageNumber=172&reviewerType=all_reviews"
"1551345126-10839","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","HKK Chicago","Beautiful design with larger screen!  I love it!","December 8, 2018","The new generation Echo Show is beautiful.  It has a sleeker design made out of material and has this huge screen that is fantastic.  Also has a great stand to purchase with it.  I did get one of those as well.  Bought one for my husband for his birthday, then I had to get one for my kitchen where I spend a lot of time.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_59?ie=UTF8&pageNumber=59&reviewerType=all_reviews"
"1551345274-11352","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Bill Baumann","There is a lot to learn when using the device","January 28, 2019","We are still learning all the things we can do with it.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_123?ie=UTF8&pageNumber=123&reviewerType=all_reviews"
"1551345240-11245","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","jcurrie","Not very useful","January 19, 2019","It’s ok but pretty expensive and we don’t really use it for much. Aside from playing music occasionally it’s not really very useful in our household.","3.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_109?ie=UTF8&pageNumber=109&reviewerType=all_reviews"
