web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551370465-21941","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jason Hilton","Music stuff","January 14, 2019","Great. The only thing that's a little difficult is being able to add stuff to different shopping lists for different stores. Alexa doesn't ask u what store to add the item to. But I haven't played with it too much either.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_135?ie=UTF8&pageNumber=135&reviewerType=all_reviews"
"1551370608-22478","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Robert Proebstle","Useful quick interface to the web.","January 22, 2019","Voice activated and have audible.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_202?ie=UTF8&pageNumber=202&reviewerType=all_reviews"
"1551370184-20886","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Eric G.","It's not amazing but not bad.","November 9, 2018","This is my first Alexa product. I was mainly looking for a smart speaker that integrated with Spotify to put in the kitchen and that didn't break the bank. The audio sounds a little muffled and adjusting the eq helps a little bit. I always feel like i'm struggling to get the volume of Alexa's voice and the music just right. In the morning she is too loud and at night when we are working in the kitchen she is too quiet. I think once the homepod integrates with spotify I will probably go that route instead.","3.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1551370587-22400","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Arline franks","I loved my old echo from Day one and I love my new one as much","January 6, 2019","Mostly for information,music","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_192?ie=UTF8&pageNumber=192&reviewerType=all_reviews"
"1551370540-22218","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ra Ha","Try try again it's bound to work","October 31, 2018","Hard to setup at first, but once you get the hang of it it gets pretty simple so don't be afraid to keep on trying it'll work.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_170?ie=UTF8&pageNumber=170&reviewerType=all_reviews"
"1551370227-21042","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","MrsCrashsmith","For hearing and sight impaired!","January 10, 2019","We putchased this so that my Mother in Law could make phone calls.  We initially had the dots but they were not loud enough.  She has an essential tremor and cant hold a phone, plus she is very hard of hearing and mostly blind.  This has enabled her to call her 97 year old sister anytime she wants.  Works fantanstic.  She has been in the hospital and we set it up in her room on their wifi and it worked great.  If is liud enough to blast you ouf of the room.  We will be purchasing more.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1551370384-21641","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","delivery","December 5, 2018","so happy I got my alexa device and the help from amazon is superb","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_97?ie=UTF8&pageNumber=97&reviewerType=all_reviews"
"1551370205-20962","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Russell B","Great design. Good sound. NO Z-Wave support? 😕","November 30, 2018","PROs: Great new design, fits in the home much better. Sound quality is much improved and easily fills the room (25’x18’).

CONs: Does NOT support Z-Wave Smart devices!!! Only Zigbee. I have over 50 SmartThings devices (all Z-Wave) throughout my home and it doesn’t see any of them. All other Echo’s allow control of those devices. Very disappointed the new echo plus does not.

This fact is very downplayed on the amazon product page. I went back and saw that it ‘recommends’ using the earlier models for smart hub control but it doesn’t spell out that it doesn’t support Z-wave. I had to search elsewhere to find this answer.

Pretty sure I’ll return them...","3.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1551370602-22453","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Love it","January 21, 2019","Love it, sounds so much better than the first ones, I have 6 between this one and the dots.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_199?ie=UTF8&pageNumber=199&reviewerType=all_reviews"
"1551370471-21966","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","wend","Great start to my smart home","February 5, 2019","I love techy gadgets. My husband, not so much. He changed his mind when he got to tell alexa what songs he wanted to hear. He said she minds him better than I do.... and doesn't give him the same sign language I do","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_138?ie=UTF8&pageNumber=138&reviewerType=all_reviews"
"1551370241-21100","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","elise cabori","Dad loves it","January 14, 2019","Got it for my parents for Christmas and my dad said, ""I can blare Metallica so loud on this thing"". They were also able to easily connect it with their Bose speakers and overhead random brand of speaker to play music throughout the house. I was happy to hear it was easy for them to sync and control their various devices since they're not the most tech savvy.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1551370197-20937","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jim G","Great Sound from Speaker","January 7, 2019","I received the Echo Plus, Dot, tp-link plug & white Phillips hue as a Christmas gift from my daughter and Son-in-law and I feel like a kid again playing with new toys.  My only disappointment was that the setup was so easy and wasn't much of a challenge.  I have the Plus located in my family room and it's sound quality is equal to my surround sound speakers. I located the Dot in a remote bedroom where it doesn't have to compete with the great sound of the Plus.  With the Echo system I don't need my intercom system any more.  I can play the same music on just one or both at the same time.  You just can't play different music on each speaker unless you have the Music Unlimited family plan which is a significant monthly fee for that feature.  I am having a difficult time holding myself back from buying all the products that can be controlled by Alexa (thermostat, door bell, garage doors, lights, receptacles, fireplace …).  My only complaint so far is that Alexa is not as smart as Google or Cortana.  Amazon needs to provide Alexa with a more robust search engine.  Also, under normal conditions Alexa has very good hearing, she can even hear a whisper.  But, when I crank up the music, I have to shout to get her to hear me.  Not sure whether there is a good solution to that problem.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1551370606-22469","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Thomas OConnell","Great value! Very good sound!","January 16, 2019","Really nice sound Alexa makes the operations simple and fun!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_201?ie=UTF8&pageNumber=201&reviewerType=all_reviews"
