web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551346435-14168","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Enrique G. Cruz","Echo ""no"" show?","January 25, 2018","Has potential . I believe with future firmware upgrades will make this device more reliable and usable. I guess for me the main disappoint for me is the fact their is very little video content. That's whole reason behind adding a screen to this device is to be able to view video content. No youtube support and videos they do have are not the best. You do have access to movies if you have prime but that's only if your subscribed to the service. The audio is better but not by much. Don't expect to fill the room with bass because it's not what's it's meant for.  Overall I can't complain too much as I got this device when it was on sale at 149.00,. I think at its normal price of over 200.00 is really overpriced for what it can do. I say stick to the next generation echo and wait for the 2nd generation show to make its debut.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_219?ie=UTF8&pageNumber=219&reviewerType=all_reviews"
"1551346776-15337","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","steve","Looks a little dated but we are very happy with it","July 22, 2017","We like it very much so far it's been our expectations we kind of wish it was a little more of a modern design it seems a little bulky and clunky but other than that it is a nice device and seems to work well","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_365?ie=UTF8&pageNumber=365&reviewerType=all_reviews"
"1551346568-14648","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Michael H. Charles","A good product that will get better","August 27, 2018","All things considered, I think it’s a great product. I would like a way to learn how to use it better, as well as all of the echo products. I would like it to be able to connect to my phone and show videos that I’m looking at on my phone, but I haven’t figured out if that’s possible. I think as things improve these will be really excellent products for use around the home.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_279?ie=UTF8&pageNumber=279&reviewerType=all_reviews"
"1551346386-13986","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Denny Thomas","The digital assistant is truly amazing once you enable the skills necessary for your personal ...","March 5, 2018","The Amazon Echo Show is a must have in your house. The digital assistant is truly amazing once you enable the skills necessary for your personal liking.

I do agree with some reviews that the inability to access YouTube and a web browser is disappointing. But that's doesn't take away from the unlimited abilities that the Amazon Echo Show provide.

The skills are unlimited and there being created all the time. No one has all of the answers during  course of their day, family and kids.

The Amazon Echo Show certainly supports a family or personal use in the manner and it's a source of enjoyable entertainment.

The drop in feature is a little intrusive, if you don't want people from your contact list or other Amazon Echo Show owners on your list to drop in without warning. However, your able to turn that feature off.

As with any electronics, do your research online about the unlimited ability of Amazon Echo Show, so that you're able to fully enjoy and understand the intricacies that make this digital assistant a must have in your home.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_196?ie=UTF8&pageNumber=196&reviewerType=all_reviews"
"1551346407-14067","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Happy","Echo Show - Black","July 5, 2017","i wrote a review within hours of opening the box. I was sent an email to review the product but when I sent it, it bounced back saying the product was not out yet. So here was my review:
  Echo Show arrived late afternoon. Played with it all evening and spent the evening having the device read one of the books in my library. I could not figure out how to get news from Los Angeles. The only news it would deliver was NPR from Washington D.C. Was really looking for an update on local fires. I am sure I will figure it out.
  Like the changing background and the notification sound when I speak. Setup was very simple. I am going to setup the second unit in the kitchen. The kitchen has an area with a desk and work area, so this will be a perfect spot for recipes while in the kitchen and music or homework help while at the desk. This is a definite 5 star out of the box.
  It has been a week now, and I love this thing even more. It reads my Audible books, gives me the news, keeps my market list, sets my alarms and so much more. Don't know how I lived without it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_206?ie=UTF8&pageNumber=206&reviewerType=all_reviews"
"1551346060-12836","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Another great device from Amazon - wish it could do more - and perhaps it soon will","July 3, 2017","I am a big fan of Amazon's gadgets.  Have owned Echo devices for several years.  So I was thrilled that a screen has been added.  So far though, I haven't found enough content that utilizes the screen in such a way that it makes this 5 stars.  The ability to video chat with other Echo Show or Alexa App owners is nice, as is watching Amazon content, and I gave it an extra star for those capabilities.  Having some issues with it pulling up my calendar when I ask it to show my calendar.  But if I ask what my next appointment is, the display will show a scroll of my calendar events.  These little quirks will get resolved but it is a little frustrating.  Would also love ability to watch ESPN via a subscription or live morning news while in the kitchen or getting ready in the morning.  Either I haven't figured out how to do that, or it isn't able to  - yet.  And that is why I love the Echo products.  The possibilities are exciting.  The price point is worth the exploring and taking the journey.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&reviewerType=all_reviews"
"1551346850-15573","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","O'Leary","Received this as a Christmas gift and was very excited ...","January 25, 2018","Received this as a Christmas gift and was very excited. However it does not have English Canada as an option, so I used USA option.

It will not allow me to find any skills as it says I have the incorrect language for my country set, but I can’t change it because it is not an option in settings. I could not set up
My echo dot for the same reason.

It will tell me the time and date, the weather, answer the questions it shows on the screen as suggestions, and that is about it. It keeps telling me to bs into settings and set the correct language.

Very frustrating to say the least.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_394?ie=UTF8&pageNumber=394&reviewerType=all_reviews"
"1551346228-13423","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Glen Verber","At best okay","September 24, 2018","No service without prime.
With prime limited,
But Amazon will let you spend more money.
Alexa doesn't respond properly 25% of the time to the simple command STOP.
All in, nice for an old man that lives alone, usually time to get to some music.
However you are better off setting something up with you tube if you are young and smart.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_125?ie=UTF8&pageNumber=125&reviewerType=all_reviews"
"1551347072-16347","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ed Hammond","Sweet screen, but sound quality could be better","September 15, 2018","Great for cooking in your kitchen and playing games.
Sound quality is not as good as my original echo.
I use the kitchen timer all the time","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_491?ie=UTF8&pageNumber=491&reviewerType=all_reviews"
"1551346442-14192","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","S. Tiouti","Wait for an update and debugging!","October 9, 2018","I had an Echo and echo the issues others have had with voice recognition.  It will not stop when I say Alexa stop or Alexa home. We sometimes have to unplug to get it to stop. The sound quality is not as good as with echo tower I had before. I have to turn up the volume on stations and music.  There’s no help either in app. The show isnt giving me much of a show to enjoy.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Show-1st-Generation-Black/product-reviews/B01J24C0TI/ref=cm_cr_arp_d_paging_btm_222?ie=UTF8&pageNumber=222&reviewerType=all_reviews"
