web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551343712-6693","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Roc","Great visuals but the speakers are not as great as ...","January 15, 2018","Replaces Echo really. Great visuals but the speakers are not as great as Echo. In time. Still can Bluetooth to my speakers. Also, wish like Echo you could set alarms weeks on end. This is set 24 hours each day.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_216?ie=UTF8&pageNumber=216&reviewerType=all_reviews"
"1551343359-5459","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Suzanne","Very disappointed with this product","June 20, 2018","I ordered 2 and it was so hard to set up had to return them both.  However, only got refunded for one and still waiting for credit on the other. Very disappointed with this product.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&pageNumber=62&reviewerType=all_reviews"
"1551343884-7309","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","ECL","Disappointed","December 12, 2018","My device does not work properly.  For example: I set the alarm for 5:45AM and it didn't go off (this happened on at least 3 occasions). DISAPPOINTED! TY","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_293?ie=UTF8&pageNumber=293&reviewerType=all_reviews"
"1551343653-6472","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Rebeca Rodriguez","No Spanish","July 30, 2018","I returnef this item because it does not speak Spanish","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_189?ie=UTF8&pageNumber=189&reviewerType=all_reviews"
"1551343592-6281","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","SunsetsOverEmma","Love it!","December 8, 2018","Love the spot! Alexa still has some kinks to work it but overall she is improving quite a lot since the first gen for I had. Great little gadget :) I carry it with me from room to room since I only have 1 but it’s super easy.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_165?ie=UTF8&pageNumber=165&reviewerType=all_reviews"
"1551343834-7124","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","J","Good product","January 9, 2019","Nice product. Does have a learning curve but as this technology improves and becomes a daily norm you’ll want to be ahead of the curve.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_270?ie=UTF8&pageNumber=270&reviewerType=all_reviews"
"1551343984-7671","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","John Burris","... how to pair and make operate are wanting at best. The unit is good but the instructions are ...","May 22, 2018","instructions on how to pair and make operate are wanting at best.  The unit is good but the instructions are terrible.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_339?ie=UTF8&pageNumber=339&reviewerType=all_reviews"
"1551344237-8579","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Barbara A. Fernandez","Five Stars","March 18, 2018","Love Love Love my Echo Spot.  Small, yet mighty.
So happy with my purchase.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_452?ie=UTF8&pageNumber=452&reviewerType=all_reviews"
"1551343882-7298","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Albert Sauri","Nice upgrade from Echo Dot","December 6, 2018","I've had the Echo Dot for months now so I knew that the Spot would be a great upgrade. It fits nicely on my night stand and works just as expected.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_292?ie=UTF8&pageNumber=292&reviewerType=all_reviews"
"1551343915-7419","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","J. King","Four Stars","July 30, 2018","I like that it's smaller, but it has never understood commands as easily as our first-gen original Echo did.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_307?ie=UTF8&pageNumber=307&reviewerType=all_reviews"
"1551343261-5153","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Crystal A Keilers","NOT cordless","August 11, 2018","I love the video feature but I feel completely misled by the fact all of the pictures indicate that it’s cordless, but it is not, it’s impossible to use without it being plugged in (I feel very misled by the product images). I wanted to be able to take it from room to room like all other echo products (especially during a video chat), but I have to plug and re-plug it in.  Amazon, am I missing something?","2.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews"
"1551343343-5398","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Gabrielle Walters","Perfect!","January 21, 2019","I added this to my Christmas wishlist because I needed a clock and wanted an Alexa product. I love being able to control it via voice, I can have it play relaxing music to help me sleep, ask how my commute is looking, know the weather report and keep up to date on a lot of the news I want to know just by asking. It’s an excellent multitasker for my nightstand but I can definitely see it having use in other parts of the home as well!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&reviewerType=all_reviews"
"1551343227-5031","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","itsGREGSWORLD","Amazon just convinced you to pay them to do what they want","December 5, 2018","if You are buying this because you just want a clock and a little better speaker than your dot, bedside, do NOT. Turns out, even with the rotating screen option off, Amazon decided it will force this device to constantly rotate to the ‘Things to try’ screen. This is a deal breaker. I bought these as gifts. I will package the one I got for me back up and send it to Amazon. We don’t pay for clocks that decide to advertise. No way, Amazon. If I want to just see the clock face, I should be able to do that.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1551344302-8814","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Brian K. Madison","Quick and easy to use.","May 24, 2018","So far very impressed. Modern day alarm clock. Amazon app does have trouble connecting however.  I love the all music feature.  Very easy to use. Will be buying another for the living room.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_482?ie=UTF8&pageNumber=482&reviewerType=all_reviews"
"1551343780-6935","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Stacy","""Spot"" on choice!","February 20, 2018","I bought two - one for the living room and one for my bedroom. I love both of them! I'm learning about all of their features still and making choices for which ones I think will serve my needs the best. Super easy to set up and I like the look. It fits in well on my nightstand and end table. I'm very pleased with these items.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_247?ie=UTF8&pageNumber=247&reviewerType=all_reviews"
"1551343572-6207","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Cameron Morrison","Amazing device","January 26, 2018","The screen is amazing. I was surprised when I asked for a song, the Spot displays the lyrics.
Video calling is cute....and it is easy to turn the camera of so there are not accidental “drop ins”.
I think the factory should set the camera off as the default as most people will located this in their bedrooms. Maybe a tad embarrassing?","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_156?ie=UTF8&pageNumber=156&reviewerType=all_reviews"
"1551344239-8588","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Gerry","great","February 16, 2019","great product","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_453?ie=UTF8&pageNumber=453&reviewerType=all_reviews"
"1551344158-8290","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Got some one to talk to now","December 21, 2018","Was never into the whole Alexa, Siri voice commands, however after buying this mom Black Friday sale, I came to like it. I have it sitting in the kitchen. When I wake up in the morning I can get instant weather report, play music, etc.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_416?ie=UTF8&pageNumber=416&reviewerType=all_reviews"
"1551344331-8915","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Cheryl","A wonderful invention","December 11, 2018","I have so enjoyed my new Alexa spot. It makes it possible for me to video chat with the grandchildren and to listen to music I like whenever I want","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_494?ie=UTF8&pageNumber=494&reviewerType=all_reviews"
"1551344092-8041","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Mike H","Excellent product; amazing utility","February 7, 2019","This is an excellent product, whose simple design hides it's incredible usefulness. I was worried about the brightness of the display, but the light sensing aspect really works. I have a Dot, and a Show, and the Spot turns out to be the device that gets the most use.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_385?ie=UTF8&pageNumber=385&reviewerType=all_reviews"
"1551344323-8883","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Liz Mullins","Great for Music","October 30, 2018","I love to listen to music or an audible book while I cook.  I also have a son overseas, so I can check his time and weather!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_490?ie=UTF8&pageNumber=490&reviewerType=all_reviews"
"1551343688-6602","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Anthony Derbah","Great Addition to My Home Office","September 23, 2018","Not only does it serve as great home office desk clock, but I'm really impressed with the drop in feature which allows me to communicate with other family members in other rooms on Echo devices.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_205?ie=UTF8&pageNumber=205&reviewerType=all_reviews"
"1551343816-7064","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Average Joe","Best bed side clock ever","April 29, 2018","It is the best bed side clock ever.  Dim the backlight down all the way then have it go to night mode.  Seems silly to spend that much for a clock but it works well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_263?ie=UTF8&pageNumber=263&reviewerType=all_reviews"
"1551344186-8395","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Pro Cook","Best","November 5, 2018","Best Echo device!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Spot-Smart-Alarm-Clock/product-reviews/B073SQYXTW/ref=cm_cr_arp_d_paging_btm_429?ie=UTF8&pageNumber=429&reviewerType=all_reviews"
